Category	ID	Term	Genes	adj_pval
BP	GO:0044281	small molecule metabolic process	ABCC2,ACADM,ACAT1,ACOT7,ACOX1,ACSF2,ADH4,ADI1,AGMO,AK1,ALDOB,APOA1,APOA4,APOB,ASAH2,BTD,CD36,CMPK2,CYP2C9,CYP3A4,CYP4F3,EGLN3,ENO1,ENPP3,EPHX1,FBP1,G6PC,GATM,GCLM,GPX4,HACL1,HGD,HMGCS2,HMMR,IDH2,IRS2,IYD,LDHB,LPL,MARC2,MME,NOS2,OAS1,OAT,ODC1,OGG1,OXCT1,PARP9,PCK1,PDK4,PFKFB4,PLOD2,PPARGC1A,PRKAB2,PTGR1,RAN,SFXN3,SHMT1,SLC19A1,SLC19A3,SLC46A1,SLC7A6,SORD,ST6GAL1,SULT1B1,SULT2A1,UGT2A3,UGT2B7,VNN1,WARS,XBP1	5.00E-09
BP	GO:0002376	immune system process	ACE,ANLN,AOC1,APOA4,APOB,BANK1,BIRC3,BST1,BST2,C1orf186,CASP1,CCL5,CCT2,CD24,CD36,CD3G,CENPE,CIITA,CTSE,CYBA,DDX60,DOCK2,ENPP2,ENPP3,FGL2,GBP1,GBP2,GBP4,GBP5,HLA-E,HMGB2,HRH2,HSP90AA1,HSP90B1,IFI27,IFI30,IFI44L,IFITM1,IFITM3,IGHA1,IGHG1,IGHG3,IGHG4,IGHM,IGKC,IGLC1,IGLC2,IGLC3,IGLC7,IL32,IL6R,IRF1,ISG15,ISG20,JAK2,KIF23,KIF4A,LGALS9,MME,MT1G,MUC2,NLRC5,NOS2,OAS1,OAS3,PARP14,PARP9,PBX1,PDIA3,PLEK,POLQ,PRDM1,PRKCB,PRKD1,PSMB8,PSMB9,PSME2,PYCARD,RAB17,RSAD2,S100A11,SARM1,SLC7A6,ST6GAL1,STAT1,STON2,TAP1,TAP2,TNFRSF17,TNIP3,TOP2A,TRIM31,TXNDC5,UBD,VNN1,XAF1,XBP1	5.00E-09
BP	GO:0045087	innate immune response	APOA4,BST2,CASP1,CCL5,CIITA,CYBA,DDX60,GBP1,GBP2,GBP4,GBP5,HLA-E,HMGB2,IFI27,IFI30,IFITM1,IFITM3,IGHM,IRF1,ISG15,ISG20,JAK2,LGALS9,NLRC5,NOS2,OAS1,OAS3,PARP14,PARP9,PRDM1,PRKD1,PSMB8,PYCARD,RSAD2,SARM1,STAT1,TRIM31,UBD,VNN1,XAF1	6.90E-09
BP	GO:0010033	response to organic substance	ABCC2,ACAT1,ACKR4,AOC1,APOA1,APOA4,APOB,ASAH2,BIRC3,BST2,C1orf186,CARD16,CASP1,CCL5,CCND1,CD24,CD36,CDK1,CIITA,CMPK2,CYBA,DERL3,DNAJA1,DNAJC10,DUSP6,EIF4EBP2,EPHX1,GBP1,GBP2,GBP4,GBP5,GCLM,GPX4,GRAMD1B,H2AFZ,HLA-E,HMGB2,HSP90AA1,HSP90B1,HSPA5,HSPH1,IFI27,IFI30,IFITM1,IFITM3,IGFBP2,IGHG1,IGHG4,IL32,IL6R,IRF1,IRS2,ISG15,ISG20,JAK2,KRT8,LGALS9,LPL,MANF,MAOB,MLXIPL,MME,MT1G,NOS2,OAS1,OAS3,OGG1,OXCT1,PAQR7,PARK2,PCK1,PCNA,PDIA3,PDIA6,PDK4,PLIN2,PPARGC1A,PRKCB,PRKD1,PSMB8,PSMB9,PSME2,PTPN1,PYCARD,RAN,RSAD2,SARM1,SDF2L1,SHMT1,SLC6A4,SORD,STAT1,TFF1,TNFRSF17,TNIP3,TRIM31,TUBA1B,UBD,XAF1,XBP1	7.60E-09
BP	GO:0019221	cytokine-mediated signaling pathway	ACKR4,BIRC3,BST2,C1orf186,CASP1,CCL5,CCND1,CD36,CIITA,GBP1,GBP2,HLA-E,HSP90AA1,HSP90B1,IFI27,IFI30,IFITM1,IFITM3,IGHG1,IGHG4,IL32,IL6R,IRF1,IRS2,ISG15,ISG20,JAK2,KRT8,NOS2,OAS1,OAS3,PSMB8,PSMB9,PSME2,PYCARD,RSAD2,STAT1,TNFRSF17,TRIM31,XAF1	8.90E-09
BP	GO:0070887	cellular response to chemical stimulus	ABCC2,ACKR4,AKR7L,AOC1,APOA1,APOA4,APOB,ASAH2,BIRC3,BST2,C1orf186,CARD16,CASP1,CCL5,CCND1,CD36,CDK1,CIITA,CMPK2,CYBA,CYP2C9,CYP3A4,CYP3A5,DERL3,EGLN3,EIF4EBP2,EPHX1,FBP1,GBP1,GBP2,GBP4,GBP5,GCLM,GPX4,GRAMD1B,H2AFZ,HLA-E,HMGB2,HSP90AA1,HSP90B1,HSPA5,IFI27,IFI30,IFITM1,IFITM3,IGFBP2,IGHG1,IGHG4,IL32,IL6R,IRF1,IRS2,ISG15,ISG20,IYD,JAK2,KRT8,LGALS9,LPL,MARC2,MLXIPL,MME,MT1G,NOS2,OAS1,OAS3,OGG1,PAQR7,PARK2,PCK1,PCNA,PDIA3,PDIA6,PDK4,PLA2R1,PPARGC1A,PRKCB,PRKD1,PSMB8,PSMB9,PSME2,PTPN1,PYCARD,RAN,RSAD2,SDF2L1,SHMT1,SLC6A4,STAT1,SULT1B1,TNFRSF17,TNIP3,TRIM31,TUBA1B,XAF1,XBP1,XRCC4	9.60E-09
BP	GO:0006955	immune response	AOC1,APOA4,BST1,BST2,CASP1,CCL5,CCT2,CD36,CD3G,CIITA,CYBA,DDX60,DOCK2,ENPP2,ENPP3,FGL2,GBP1,GBP2,GBP4,GBP5,HLA-E,HMGB2,HRH2,HSP90AA1,IFI27,IFI30,IFITM1,IFITM3,IGHA1,IGHG1,IGHG3,IGHG4,IGHM,IGKC,IGLC1,IGLC2,IGLC3,IGLC7,IL32,IL6R,IRF1,ISG15,ISG20,JAK2,LGALS9,MME,NLRC5,NOS2,OAS1,OAS3,PARP14,PARP9,PRDM1,PRKCB,PRKD1,PSMB8,PYCARD,RAB17,RSAD2,S100A11,SARM1,ST6GAL1,STAT1,TAP1,TAP2,TNFRSF17,TRIM31,TXNDC5,UBD,VNN1,XAF1,XBP1	1.09E-08
BP	GO:0006950	response to stress	ABCC2,ACAT1,AGR2,ANGPTL4,AOC1,APOA1,APOA4,BST2,CARD16,CASP1,CCL5,CCND1,CD24,CD36,CDK1,CIITA,CLSPN,CYBA,DDX60,DERL3,DNAJA1,DNAJC10,DUSP6,E2F8,EGLN3,F11,FOXM1,GBP1,GBP2,GBP4,GBP5,GCLM,GPX4,HLA-E,HMGB2,HSP90AA1,HSP90B1,HSPA5,HSPH1,IFI27,IFI30,IFI44L,IFITM1,IFITM3,IGHA1,IGHM,IL32,IL6R,IRF1,ISG15,ISG20,JAK2,KRT20,KRT8,LGALS9,LPL,MANF,MATN2,MEP1B,NLRC5,NOS2,NRG1,OAS1,OAS3,OGG1,OXCT1,PARK2,PARP14,PARP9,PCK1,PCNA,PDIA6,PDK4,PLA2R1,PLEK,PLOD2,POLQ,PPARGC1A,PRDM1,PRKCB,PRKD1,PSMB8,PSMB9,PSME2,PTPN1,PYCARD,RSAD2,SARM1,SDF2L1,SEPP1,SLC6A4,SORD,SP140,SSRP1,STAT1,STRA13,TAP1,TFF1,TM4SF4,TNIP3,TOP2A,TRIM31,UBD,UBE2L6,UHRF1,VNN1,XAF1,XBP1,XRCC4	1.10E-08
CC	GO:0070062	extracellular exosome	ACAT1,ACE,ACOT7,AK1,AKR7L,ALDOB,AOC1,APOA1,APOA4,APOB,APOC3,ASAH2,BST1,BST2,BTD,CCT2,CDHR5,CDK1,DNAJA1,DOCK2,ENO1,ENPP3,F11,FBP1,FGL2,GATM,GGCT,GPX4,H2AFZ,HGD,HLA-E,HSP90AA1,HSP90B1,HSPA5,HSPH1,IDH2,IGFBP2,IGHA1,IGHG1,IGHG3,IGHG4,IGHM,IGKC,IGLC1,IGLC2,IGLC3,ITM2C,KIF12,KRT8,LAP3,LDHB,MME,PCK1,PCNA,PDIA3,PDIA6,PDZK1,PLOD2,PRKCB,PSMB8,PSMB9,PSME2,PTGR1,RAB17,RAN,S100A11,S100A16,SEPP1,SHMT1,SI,SLC13A2,SLC38A1,SLC5A1,SLC5A12,SLC5A9,SORD,THSD4,TREH,TRHDE,TSPAN1,TXNDC5,WARS	2.14E-08
CC	GO:0005576	extracellular region	ACAT1,ACE,ACOT7,AGR2,AK1,AKR7L,ALDOB,ANGPTL4,AOC1,APOA1,APOA4,APOB,APOC3,APOL6,ASAH2,BST1,BST2,BTD,CCL5,CCT2,CD36,CDCA8,CDHR5,CDK1,CEP55,COL25A1,COL4A5,DNAJA1,DOCK2,ENO1,ENPP2,ENPP3,F11,FAM184A,FAM3D,FBP1,FGL2,GATM,GBP1,GGCT,GPX4,H2AFZ,HGD,HLA-E,HMGB2,HSD17B11,HSP90AA1,HSP90B1,HSPA5,HSPH1,IDH2,IFI30,IGFBP2,IGHA1,IGHG1,IGHG3,IGHG4,IGHM,IGKC,IGLC1,IGLC2,IGLC3,IGLC7,IL32,IL6R,ISG15,ITM2C,KIF12,KIF23,KIF4A,KRT8,LAMB3,LAP3,LDHB,LGALS9,LPL,MANF,MATN2,MEP1B,MME,MUC2,NELL2,NRG1,NRG3,OAS1,OAS3,PCK1,PCNA,PDIA3,PDIA4,PDIA6,PDZK1,PLA2R1,PLEK,PLIN2,PLOD2,PRAP1,PRKCB,PSMB8,PSMB9,PSME2,PTGR1,PYCARD,RAB17,RAN,REG4,S100A11,S100A16,SEPP1,SHMT1,SI,SLC13A2,SLC38A1,SLC5A1,SLC5A12,SLC5A9,SMOC2,SORD,SPINK4,ST6GAL1,TFF1,THSD4,TREH,TRHDE,TSPAN1,TXNDC5,VNN1,WARS	2.14E-08
CC	GO:1903561	extracellular vesicle	ACAT1,ACE,ACOT7,AK1,AKR7L,ALDOB,AOC1,APOA1,APOA4,APOB,APOC3,ASAH2,BST1,BST2,BTD,CCT2,CDHR5,CDK1,DNAJA1,DOCK2,ENO1,ENPP3,F11,FBP1,FGL2,GATM,GGCT,GPX4,H2AFZ,HGD,HLA-E,HSP90AA1,HSP90B1,HSPA5,HSPH1,IDH2,IGFBP2,IGHA1,IGHG1,IGHG3,IGHG4,IGHM,IGKC,IGLC1,IGLC2,IGLC3,ITM2C,KIF12,KRT8,LAP3,LDHB,MME,PCK1,PCNA,PDIA3,PDIA6,PDZK1,PLOD2,PRKCB,PSMB8,PSMB9,PSME2,PTGR1,RAB17,RAN,S100A11,S100A16,SEPP1,SHMT1,SI,SLC13A2,SLC38A1,SLC5A1,SLC5A12,SLC5A9,SORD,THSD4,TREH,TRHDE,TSPAN1,TXNDC5,WARS	2.14E-08
CC	GO:0043230	extracellular organelle	ACAT1,ACE,ACOT7,AK1,AKR7L,ALDOB,AOC1,APOA1,APOA4,APOB,APOC3,ASAH2,BST1,BST2,BTD,CCT2,CDHR5,CDK1,DNAJA1,DOCK2,ENO1,ENPP3,F11,FBP1,FGL2,GATM,GGCT,GPX4,H2AFZ,HGD,HLA-E,HSP90AA1,HSP90B1,HSPA5,HSPH1,IDH2,IGFBP2,IGHA1,IGHG1,IGHG3,IGHG4,IGHM,IGKC,IGLC1,IGLC2,IGLC3,ITM2C,KIF12,KRT8,LAP3,LDHB,MME,PCK1,PCNA,PDIA3,PDIA6,PDZK1,PLOD2,PRKCB,PSMB8,PSMB9,PSME2,PTGR1,RAB17,RAN,S100A11,S100A16,SEPP1,SHMT1,SI,SLC13A2,SLC38A1,SLC5A1,SLC5A12,SLC5A9,SORD,THSD4,TREH,TRHDE,TSPAN1,TXNDC5,WARS	2.14E-08
BP	GO:0042221	response to chemical	ABCC2,ACAT1,ACKR4,AKR7L,AOC1,APOA1,APOA4,APOB,AQP10,ASAH2,BIRC3,BST2,C1orf186,CARD16,CASP1,CCL5,CCND1,CD24,CD36,CDK1,CENPF,CIITA,CMPK2,CYBA,CYP2C9,CYP3A4,CYP3A5,DCC,DERL3,DNAJA1,DNAJC10,DOCK2,DUSP6,EGLN3,EIF4EBP2,ENPP2,EPHX1,FBP1,G6PC,GBP1,GBP2,GBP4,GBP5,GCLM,GPX4,GRAMD1B,GRB10,H2AFZ,HLA-E,HMGB2,HSP90AA1,HSP90B1,HSPA5,HSPH1,IFI27,IFI30,IFITM1,IFITM3,IGFBP2,IGHG1,IGHG4,IL32,IL6R,IRF1,IRS2,ISG15,ISG20,IYD,JAK2,KRT8,LGALS9,LPL,MANF,MAOB,MARC2,MATN2,MLXIPL,MME,MT1G,NOS2,NRG1,NRG3,OAS1,OAS3,OGG1,OXCT1,PAQR7,PARK2,PCK1,PCNA,PDIA3,PDIA6,PDK4,PDZK1,PLA2R1,PLIN2,PPARGC1A,PRKCB,PRKD1,PSMB8,PSMB9,PSME2,PTGR1,PTPN1,PYCARD,RAN,RSAD2,S100A16,SARM1,SDF2L1,SHMT1,SLC19A1,SLC19A3,SLC46A1,SLC6A4,SORD,SPINK4,STAT1,SULT1B1,TFF1,TNFRSF17,TNIP3,TRIM31,TRPM6,TUBA1B,UBD,UNC5D,XAF1,XBP1,XRCC4	2.89E-08
BP	GO:0019752	carboxylic acid metabolic process	ABCC2,ACADM,ACAT1,ACOT7,ACOX1,ACSF2,ADI1,ALDOB,BTD,CD36,CYP2C9,CYP3A4,CYP4F3,EGLN3,ENO1,GATM,GCLM,GPX4,HACL1,HGD,HMMR,IDH2,IYD,LDHB,LPL,NOS2,OAT,ODC1,PCK1,PLOD2,PPARGC1A,PRKAB2,PTGR1,SHMT1,SLC19A1,SLC46A1,SLC7A6,SORD,ST6GAL1,SULT2A1,UGT2A3,UGT2B7,VNN1,WARS,XBP1	3.59E-08
BP	GO:0006082	organic acid metabolic process	ABCC2,ACADM,ACAT1,ACOT7,ACOX1,ACSF2,ADI1,ALDOB,BTD,CD36,CYP2C9,CYP3A4,CYP4F3,EGLN3,ENO1,G6PC,GATM,GCLM,GPX4,HACL1,HGD,HMMR,IDH2,IYD,LDHB,LPL,MARC2,NOS2,OAT,ODC1,PCK1,PLOD2,PPARGC1A,PRKAB2,PTGR1,SHMT1,SLC19A1,SLC46A1,SLC7A6,SORD,ST6GAL1,SULT1B1,SULT2A1,UGT2A3,UGT2B7,VNN1,WARS,XBP1	5.00E-08
BP	GO:0098542	defense response to other organism	APOA4,BST2,CASP1,CCL5,CD36,CIITA,CYBA,DDX60,GBP1,GBP2,GBP4,GBP5,HLA-E,HMGB2,IFI27,IFI30,IFI44L,IFITM1,IFITM3,IGHA1,IGHM,IL6R,IRF1,ISG15,ISG20,JAK2,LGALS9,NLRC5,NOS2,OAS1,OAS3,PARP14,PARP9,PRDM1,PRKD1,PSMB8,PYCARD,RSAD2,SARM1,STAT1,TRIM31,UBD,VNN1,XAF1	6.41E-08
CC	GO:0044421	extracellular region part	ACAT1,ACE,ACOT7,AGR2,AK1,AKR7L,ALDOB,ANGPTL4,AOC1,APOA1,APOA4,APOB,APOC3,ASAH2,BST1,BST2,BTD,CCT2,CD36,CDCA8,CDHR5,CDK1,CEP55,COL25A1,COL4A5,DNAJA1,DOCK2,ENO1,ENPP2,ENPP3,F11,FAM184A,FBP1,FGL2,GATM,GGCT,GPX4,H2AFZ,HGD,HLA-E,HMGB2,HSP90AA1,HSP90B1,HSPA5,HSPH1,IDH2,IGFBP2,IGHA1,IGHG1,IGHG3,IGHG4,IGHM,IGKC,IGLC1,IGLC2,IGLC3,IL32,ITM2C,KIF12,KIF23,KIF4A,KRT8,LAMB3,LAP3,LDHB,LGALS9,LPL,MATN2,MME,MUC2,OAS3,PCK1,PCNA,PDIA3,PDIA4,PDIA6,PDZK1,PLOD2,PRKCB,PSMB8,PSMB9,PSME2,PTGR1,RAB17,RAN,S100A11,S100A16,SEPP1,SHMT1,SI,SLC13A2,SLC38A1,SLC5A1,SLC5A12,SLC5A9,SMOC2,SORD,THSD4,TREH,TRHDE,TSPAN1,TXNDC5,WARS	7.26E-08
BP	GO:0043436	oxoacid metabolic process	ABCC2,ACADM,ACAT1,ACOT7,ACOX1,ACSF2,ADI1,ALDOB,BTD,CD36,CYP2C9,CYP3A4,CYP4F3,EGLN3,ENO1,GATM,GCLM,GPX4,HACL1,HGD,HMMR,IDH2,IYD,LDHB,LPL,MARC2,NOS2,OAT,ODC1,PCK1,PLOD2,PPARGC1A,PRKAB2,PTGR1,SHMT1,SLC19A1,SLC46A1,SLC7A6,SORD,ST6GAL1,SULT1B1,SULT2A1,UGT2A3,UGT2B7,VNN1,WARS,XBP1	7.36E-08
BP	GO:0071346	cellular response to interferon-gamma	CASP1,CCL5,CIITA,GBP1,GBP2,GBP4,GBP5,HLA-E,IFI30,IRF1,JAK2,LGALS9,NOS2,OAS1,OAS3,STAT1,TRIM31	2.25E-07
CC	GO:0005615	extracellular space	ACAT1,ACE,ACOT7,AGR2,AK1,AKR7L,ALDOB,ANGPTL4,AOC1,APOA1,APOA4,APOB,APOC3,ASAH2,BST1,BST2,BTD,CCT2,CD36,CDHR5,CDK1,COL25A1,DNAJA1,DOCK2,ENO1,ENPP2,ENPP3,F11,FAM184A,FBP1,FGL2,GATM,GGCT,GPX4,H2AFZ,HGD,HLA-E,HMGB2,HSP90AA1,HSP90B1,HSPA5,HSPH1,IDH2,IGFBP2,IGHA1,IGHG1,IGHG3,IGHG4,IGHM,IGKC,IGLC1,IGLC2,IGLC3,IL32,ITM2C,KIF12,KRT8,LAP3,LDHB,LGALS9,LPL,MME,OAS3,PCK1,PCNA,PDIA3,PDIA4,PDIA6,PDZK1,PLOD2,PRKCB,PSMB8,PSMB9,PSME2,PTGR1,RAB17,RAN,S100A11,S100A16,SEPP1,SHMT1,SI,SLC13A2,SLC38A1,SLC5A1,SLC5A12,SLC5A9,SMOC2,SORD,THSD4,TREH,TRHDE,TSPAN1,TXNDC5,WARS	2.60E-07
BP	GO:0043900	regulation of multi-organism process	APOB,BIRC3,BST2,CARD16,CCL5,CD36,CYBA,DDX60,FGL2,GBP5,HLA-E,HSP90B1,IFI27,IFITM1,IFITM3,IRF1,ISG15,ISG20,JAK2,KPNA2,LGALS9,MUC2,NELFE,NLRC5,NOS2,OAS1,OAS3,PARK2,PARP14,PARP9,PSMB8,PSMB9,PSME2,PTPN1,PYCARD,RSAD2,SARM1,STAT1,TNIP3,TOP2A,TRIM31	3.19E-07
BP	GO:0071310	cellular response to organic substance	ABCC2,ACKR4,AOC1,APOA1,APOB,ASAH2,BIRC3,BST2,C1orf186,CARD16,CASP1,CCL5,CCND1,CD36,CIITA,CMPK2,CYBA,DERL3,EIF4EBP2,GBP1,GBP2,GBP4,GBP5,GCLM,GRAMD1B,H2AFZ,HLA-E,HMGB2,HSP90AA1,HSP90B1,HSPA5,IFI27,IFI30,IFITM1,IFITM3,IGFBP2,IGHG1,IGHG4,IL32,IL6R,IRF1,IRS2,ISG15,ISG20,JAK2,KRT8,LGALS9,LPL,MLXIPL,MME,MT1G,NOS2,OAS1,OAS3,PAQR7,PARK2,PCK1,PDIA3,PDIA6,PDK4,PPARGC1A,PRKCB,PRKD1,PSMB8,PSMB9,PSME2,PTPN1,PYCARD,RAN,RSAD2,SDF2L1,SHMT1,SLC6A4,STAT1,TNFRSF17,TNIP3,TRIM31,TUBA1B,XAF1,XBP1	4.09E-07
BP	GO:0050896	response to stimulus	ABCC2,ACAT1,ACKR4,AGR2,AKR7L,ANGPTL4,AOC1,APOA1,APOA4,APOB,APOC3,AQP10,ARHGAP8,ASAH2,BANK1,BIRC3,BST1,BST2,C1orf186,CARD16,CASP1,CCL5,CCND1,CCT2,CD24,CD36,CD3G,CDK1,CENPF,CIITA,CLSPN,CMPK2,CNGA1,COL4A5,CYBA,CYP2C9,CYP3A4,CYP3A5,DCC,DDX60,DEPDC1,DEPDC7,DERL3,DLGAP5,DNAJA1,DNAJC10,DOCK2,DUSP6,E2F8,EGLN3,EIF4EBP2,ENO1,ENPP2,ENPP3,EPHX1,F11,FAM13A,FBP1,FGL2,FOXM1,G6PC,GATM,GBP1,GBP2,GBP4,GBP5,GCLM,GGCT,GPX4,GRAMD1B,GRB10,H2AFZ,HLA-E,HMGB2,HRH2,HSP90AA1,HSP90B1,HSPA5,HSPH1,IFI27,IFI30,IFI44L,IFITM1,IFITM3,IGFBP2,IGHA1,IGHG1,IGHG3,IGHG4,IGHM,IGKC,IGLC1,IGLC2,IGLC3,IGLC7,IL32,IL6R,IRF1,IRS2,ISG15,ISG20,IYD,JAK2,KPNA2,KRT20,KRT8,LGALS9,LPL,MANF,MAOB,MARC2,MATN2,MEP1B,MLXIPL,MME,MT1G,MUC2,MYZAP,NLRC5,NOS2,NRG1,NRG3,OAS1,OAS3,ODC1,OGG1,OXCT1,PAQR7,PARK2,PARP14,PARP9,PBX1,PCK1,PCNA,PDIA3,PDIA6,PDK4,PDZK1,PEX11A,PIM2,PLA2R1,PLEK,PLIN2,PLOD2,POLQ,PPARGC1A,PRDM1,PRKAB2,PRKCB,PRKD1,PRKG2,PSMB8,PSMB9,PSME2,PTGR1,PTH2R,PTPN1,PYCARD,RAB17,RAN,REG4,RSAD2,S100A11,S100A16,SARM1,SCTR,SDF2L1,SEPP1,SHMT1,SLC19A1,SLC19A3,SLC46A1,SLC6A4,SORD,SP140,SPINK4,SSRP1,ST6GAL1,STAT1,STRA13,SULT1B1,TAP1,TAP2,TFF1,TM4SF4,TNFRSF17,TNIP3,TOP2A,TRHDE,TRIM31,TRPM6,TUBA1B,TXNDC5,UBD,UBE2L6,UHRF1,UNC5D,VNN1,XAF1,XBP1,XRCC4	5.16E-07
CC	GO:0034663	endoplasmic reticulum chaperone complex	DNAJC10,HSP90B1,HSPA5,MZB1,PDIA6,SDF2L1	6.36E-07
BP	GO:0009615	response to virus	APOB,BST2,CCL5,DDX60,ENO1,GBP1,IFI27,IFI44L,IFITM1,IFITM3,IRF1,ISG15,ISG20,LGALS9,NLRC5,OAS1,OAS3,ODC1,PARP9,PIM2,PYCARD,RSAD2,STAT1	6.89E-07
